"","TeamNameBat","Team_Batting","Season","Match_id","Innings_No","venueGround","venueCity","winner","TeamNameBowl","Team_Bowling","TeamBattingWon","EOIOver","EOIBall","EOIRuns","EOIWkts","EOIRunRate","Over4","Over4Ball","Over4Runs","Over4Wkts","Over4RunRate","Over6","Over6Ball","Over6Runs","Over6Wkts","Over6RunRate","Over8","Over8Ball","Over8Runs","Over8Wkts","Over8RunRate","Over10","Over10Ball","Over10Runs","Over10Wkts","Over10RunRate","Over12","Over12Ball","Over12Runs","Over12Wkts","Over12RunRate","Over15","Over15Ball","Over15Runs","Over15Wkts","Over15RunRate","Over17","Over17Ball","Over17Runs","Over17Wkts","Over17RunRate","Over20","Over20Ball","Over20Runs","Over20Wkts","Over20RunRate"
"143","Deccan Chargers","8",2008,336039,2,"M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore","Royal Challengers Bangalore","2","FALSE",20,6,153,6,7.65,4,6,26,1,6.5,6,6,33,2,5.5,8,6,54,2,6.75,10,7,63,2,6.3,12,6,90,2,7.5,15,6,112,2,7.47,17,6,128,3,7.53,20,6,153,6,7.65
"144","Deccan Chargers","8",2008,336042,1,"Rajiv Gandhi International Stadium, Uppal","Hyderabad","Chennai Super Kings","Chennai Super Kings","3","FALSE",20,6,147,8,7.35,4,6,15,2,3.75,6,6,26,2,4.33,8,6,44,2,5.5,10,6,57,2,5.7,12,7,65,3,5.42,15,6,93,3,6.2,17,6,112,3,6.59,20,6,147,8,7.35
"145","Deccan Chargers","8",2009,392189,2,"Newlands","Cape Town","Deccan Chargers","Kolkata Knight Riders","1","TRUE",14,1,104,2,7.43,4,6,30,1,7.5,6,6,37,2,6.17,8,6,46,2,5.75,10,7,69,2,6.9,12,6,91,2,7.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Deccan Chargers","8",2009,392193,1,"Newlands","Cape Town","Deccan Chargers","Royal Challengers Bangalore","2","TRUE",20,6,184,6,9.2,4,6,47,1,11.75,6,6,62,1,10.33,8,7,72,2,9,10,6,91,2,9.1,12,6,107,2,8.92,15,6,139,3,9.27,17,6,158,4,9.29,20,6,184,6,9.2
"147","Deccan Chargers","8",2009,392197,1,"Kingsmead","Durban","Deccan Chargers","Mumbai Indians","7","TRUE",20,6,168,9,8.4,4,7,36,0,9,6,7,55,0,9.17,8,6,72,1,9,10,6,88,1,8.8,12,6,113,1,9.42,15,6,137,4,9.13,17,7,151,5,8.88,20,6,168,9,8.4
"148","Deccan Chargers","8",2009,392201,2,"Kingsmead","Durban","Deccan Chargers","Chennai Super Kings","3","TRUE",20,3,169,4,8.45,4,6,60,0,15,6,6,69,1,11.5,8,6,75,2,9.38,10,6,85,2,8.5,12,6,107,2,8.92,15,6,129,3,8.6,17,7,141,4,8.29,20,3,169,4,8.45
"149","Deccan Chargers","8",2009,392206,1,"SuperSport Park","Centurion","Delhi Daredevils","Delhi Daredevils","6","FALSE",20,6,148,9,7.4,4,6,26,2,6.5,6,6,37,2,6.17,8,7,48,2,6,10,6,55,4,5.5,12,7,77,4,6.42,15,6,118,5,7.87,17,6,134,5,7.88,20,6,148,9,7.4
"150","Deccan Chargers","8",2009,392210,1,"St George's Park","Port Elizabeth","Rajasthan Royals","Rajasthan Royals","5","FALSE",20,6,141,5,7.05,4,6,34,0,8.5,6,6,39,2,6.5,8,6,43,2,5.38,10,6,58,3,5.8,12,7,70,3,5.83,15,6,102,3,6.8,17,6,118,4,6.94,20,6,141,5,7.05
"151","Deccan Chargers","8",2009,392214,2,"Buffalo Park","East London","Chennai Super Kings","Chennai Super Kings","3","FALSE",15,4,100,10,6.67,4,6,15,3,3.75,6,6,52,3,8.67,8,6,69,3,8.62,10,7,79,5,7.9,12,6,95,6,7.92,15,4,100,10,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152","Deccan Chargers","8",2009,392217,1,"SuperSport Park","Centurion","Deccan Chargers","Mumbai Indians","7","TRUE",20,6,145,6,7.25,4,6,21,1,5.25,6,6,37,2,6.17,8,6,56,2,7,10,6,63,3,6.3,12,6,80,3,6.67,15,6,99,4,6.6,17,6,118,4,6.94,20,6,145,6,7.25
"153","Deccan Chargers","8",2009,392221,1,"De Beers Diamond Oval","Kimberley","Kings XI Punjab","Kings XI Punjab","4","FALSE",20,7,168,5,8.4,4,6,31,1,7.75,6,6,52,1,8.67,8,6,58,2,7.25,10,6,72,3,7.2,12,6,74,4,6.17,15,6,100,4,6.67,17,6,133,4,7.82,20,7,168,5,8.4
"154","Deccan Chargers","8",2009,392225,1,"De Beers Diamond Oval","Kimberley","Deccan Chargers","Rajasthan Royals","5","TRUE",20,6,166,7,8.3,4,6,28,1,7,6,6,42,2,7,8,6,59,2,7.38,10,6,77,3,7.7,12,6,86,4,7.17,15,6,108,4,7.2,17,6,130,5,7.65,20,6,166,7,8.3
"155","Deccan Chargers","8",2009,392228,2,"Kingsmead","Durban","Delhi Daredevils","Delhi Daredevils","6","FALSE",20,4,161,10,8.05,4,6,40,1,10,6,7,50,2,8.33,8,6,66,2,8.25,10,6,83,2,8.3,12,6,99,3,8.25,15,6,134,3,8.93,17,6,149,4,8.76,20,4,161,10,8.05
"156","Deccan Chargers","8",2009,392233,2,"New Wanderers Stadium","Johannesburg","Deccan Chargers","Kolkata Knight Riders","1","TRUE",20,8,166,4,8.3,4,7,40,0,10,6,6,50,0,8.33,8,6,62,0,7.75,10,6,71,1,7.1,12,6,85,1,7.08,15,6,105,2,7,17,6,127,3,7.47,20,8,166,4,8.3
"157","Deccan Chargers","8",2009,392234,2,"New Wanderers Stadium","Johannesburg","Kings XI Punjab","Kings XI Punjab","4","FALSE",20,7,133,8,6.65,4,6,34,0,8.5,6,6,46,2,7.67,8,7,54,2,6.75,10,6,65,2,6.5,12,6,73,3,6.08,15,6,86,5,5.73,17,6,92,5,5.41,20,7,133,8,6.65
"158","Deccan Chargers","8",2009,392241,2,"SuperSport Park","Centurion","Royal Challengers Bangalore","Royal Challengers Bangalore","2","FALSE",20,6,158,6,7.9,4,6,23,0,5.75,6,7,64,0,10.67,8,6,74,1,9.25,10,7,85,1,8.5,12,7,98,2,8.17,15,6,119,3,7.93,17,6,131,4,7.71,20,6,158,6,7.9
"159","Deccan Chargers","8",2009,392242,2,"SuperSport Park","Centurion","Deccan Chargers","Delhi Daredevils","6","TRUE",18,4,154,4,8.56,4,7,56,1,14,6,7,84,1,14,8,6,91,2,11.38,10,6,102,3,10.2,12,6,120,3,10,15,6,146,4,9.73,17,7,152,4,8.94,NA,NA,NA,NA,NA
"160","Deccan Chargers","8",2009,392244,1,"New Wanderers Stadium","Johannesburg","Deccan Chargers","Royal Challengers Bangalore","2","TRUE",20,6,143,6,7.15,4,6,18,2,4.5,6,6,31,2,5.17,8,6,54,2,6.75,10,6,62,3,6.2,12,6,69,3,5.75,15,8,101,3,6.73,17,6,115,5,6.76,20,6,143,6,7.15
"161","Deccan Chargers","8",2010,419111,2,"Dr DY Patil Sports Academy","Mumbai","Kolkata Knight Riders","Kolkata Knight Riders","1","FALSE",20,7,150,7,7.5,4,6,40,0,10,6,6,62,1,10.33,8,6,71,1,8.88,10,6,88,1,8.8,12,6,102,2,8.5,15,6,122,4,8.13,17,6,133,5,7.82,20,7,150,7,7.5
"162","Deccan Chargers","8",2010,419115,1,"MA Chidambaram Stadium, Chepauk","Chennai","Deccan Chargers","Chennai Super Kings","3","TRUE",20,8,190,4,9.5,4,6,47,0,11.75,6,7,57,2,9.5,8,7,66,2,8.25,10,6,80,2,8,12,6,99,2,8.25,15,9,127,2,8.47,17,6,149,2,8.76,20,8,190,4,9.5
"163","Deccan Chargers","8",2010,419122,1,"Barabati Stadium","Cuttack","Deccan Chargers","Kings XI Punjab","4","TRUE",20,6,170,7,8.5,4,6,46,1,11.5,6,6,56,1,9.33,8,6,77,1,9.62,10,6,100,1,10,12,6,113,4,9.42,15,6,125,4,8.33,17,6,144,5,8.47,20,6,170,7,8.5
"164","Deccan Chargers","8",2010,419125,1,"Barabati Stadium","Cuttack","Deccan Chargers","Delhi Daredevils","6","TRUE",20,6,171,6,8.55,4,6,34,1,8.5,6,6,47,2,7.83,8,6,61,2,7.62,10,6,77,3,7.7,12,6,95,3,7.92,15,6,115,4,7.67,17,6,142,4,8.35,20,6,171,6,8.55
"165","Deccan Chargers","8",2010,419131,1,"Sardar Patel Stadium, Motera","Ahmedabad","Rajasthan Royals","Rajasthan Royals","5","FALSE",20,6,148,9,7.4,4,6,34,1,8.5,6,6,55,2,9.17,8,6,70,3,8.75,10,7,79,4,7.9,12,6,98,4,8.17,15,6,108,6,7.2,17,6,118,6,6.94,20,6,148,9,7.4
"166","Deccan Chargers","8",2010,419135,2,"Dr DY Patil Sports Academy","Mumbai","Mumbai Indians","Mumbai Indians","7","FALSE",18,4,131,10,7.28,4,7,35,1,8.75,6,7,50,4,8.33,8,6,61,4,7.62,10,6,78,4,7.8,12,6,91,5,7.58,15,6,122,7,8.13,17,6,131,9,7.71,NA,NA,NA,NA,NA
