"","season","matchID","inn1EOIRuns","predO6EOIRuns","errO6Run","errO6Per","predO10EOIRuns","errO10Run","errO10Per","predO15EOIRuns","errO15Run","errO15Per","inn2EOIRuns","predO26EOIRuns","errO26Run","errO26Per","predO26TeamBatFirstWinMod","actualTeamBatFirstWin","correctPredWinModO26","predO26TeamBatFirstWinEOI","correctPredWinEOIO26","predO30EOIRuns","errO30Run","errO30Per","predO30TeamBatFirstWinMod","correctPredWinModO30","predO30TeamBatFirstWinEOI","correctPredWinEOIO30","predO30EOIRuns.1","errO35Run","errO35Per","predO35TeamBatFirstWinMod","correctPredWinModO35","predO35TeamBatFirstWinEOI","correctPredWinEOIO35"
"1120",2017,1082602,142,172.466424479843,30.47,21.46,162.709501670829,20.71,14.58,168.991524342294,26.99,19.01,145,109.441464808688,-35.56,-24.52,TRUE,FALSE,FALSE,TRUE,FALSE,106.726720973282,-38.27,-26.4,TRUE,FALSE,TRUE,FALSE,106.726720973282,-23.93,-16.5,TRUE,FALSE,TRUE,FALSE
"1121",2017,1082603,171,174.937604956783,3.94,2.3,164.900793375956,-6.1,-3.57,160.201605292571,-10.8,-6.31,172,161.948712813735,-10.05,-5.84,FALSE,FALSE,TRUE,TRUE,FALSE,164.449738594142,-7.55,-4.39,FALSE,TRUE,TRUE,FALSE,164.449738594142,-9.69,-5.64,FALSE,TRUE,TRUE,FALSE
"1122",2017,1082604,172,154.655941193681,-17.34,-10.08,169.855235643765,-2.14,-1.25,178.764884954536,6.76,3.93,155,160.309391034875,5.31,3.43,FALSE,TRUE,FALSE,TRUE,TRUE,149.950605574677,-5.05,-3.26,TRUE,TRUE,TRUE,TRUE,149.950605574677,-8.74,-5.64,TRUE,TRUE,TRUE,TRUE
"1123",2017,1082605,188,177.745005362433,-10.25,-5.45,174.889725557235,-13.11,-6.97,166.09290597511,-21.91,-11.65,137,158.64167188057,21.64,15.8,TRUE,TRUE,TRUE,TRUE,TRUE,157.409252991741,20.41,14.9,TRUE,TRUE,TRUE,TRUE,157.409252991741,6.33,4.62,TRUE,TRUE,TRUE,TRUE
"1124",2017,1082606,176,163.665634822457,-12.33,-7.01,169.68304431123,-6.32,-3.59,167.089038103508,-8.91,-5.06,177,164.024345688913,-12.98,-7.33,FALSE,FALSE,TRUE,TRUE,FALSE,173.896073861411,-3.1,-1.75,FALSE,TRUE,TRUE,FALSE,173.896073861411,-8.64,-4.88,FALSE,TRUE,TRUE,FALSE
"1125",2017,1082607,161,186.280100811488,25.28,15.7,174.073733766486,13.07,8.12,178.919693032872,17.92,11.13,134,142.347527173634,8.35,6.23,TRUE,TRUE,TRUE,TRUE,TRUE,149.208115696918,15.21,11.35,TRUE,TRUE,TRUE,TRUE,149.208115696918,9.49,7.08,TRUE,TRUE,TRUE,TRUE
"1126",2017,1082608,168,185.213552490258,17.21,10.25,175.241485176753,7.24,4.31,155.523149717232,-12.48,-7.43,169,150.928917944798,-18.07,-10.69,TRUE,FALSE,FALSE,TRUE,FALSE,161.311205288146,-7.69,-4.55,FALSE,TRUE,TRUE,FALSE,161.311205288146,4.03,2.39,FALSE,TRUE,FALSE,TRUE
"1127",2017,1082609,159,150.775046012554,-8.22,-5.17,138.527772267673,-20.47,-12.88,159.080938591738,0.08,0.05,154,146.225262132141,-7.77,-5.05,FALSE,TRUE,FALSE,TRUE,TRUE,127.328822218746,-26.67,-17.32,TRUE,TRUE,TRUE,TRUE,127.328822218746,-30.09,-19.54,TRUE,TRUE,TRUE,TRUE
"1128",2017,1082610,213,175.228962235893,-37.77,-17.73,199.785606706981,-13.21,-6.2,214.423156781249,1.42,0.67,192,183.94308682915,-8.06,-4.2,TRUE,TRUE,TRUE,TRUE,TRUE,191.662534104708,-0.34,-0.18,TRUE,TRUE,TRUE,TRUE,191.662534104708,-4.29,-2.24,TRUE,TRUE,TRUE,TRUE
"1129",2017,1082611,191,157.618209205704,-33.38,-17.48,175.687462757213,-15.31,-8.02,194.53548313177,3.54,1.85,176,174.960580103121,-1.04,-0.59,TRUE,TRUE,TRUE,TRUE,TRUE,170.956472955745,-5.04,-2.87,FALSE,FALSE,TRUE,TRUE,170.956472955745,-16.36,-9.29,TRUE,TRUE,TRUE,TRUE
