"","rowID","season","matchID","actualTeamBatFirstWin","predO0TeamBatFirstWinMod","predO20TeamBatFirstWinMod","predO26TeamBatFirstWinMod","predO30TeamBatFirstWinMod","predO35TeamBatFirstWinMod","predO26TeamBatFirstWinEOI","predO30TeamBatFirstWinEOI","predO35TeamBatFirstWinEOI","inn1EOIRuns","predO6EOIRuns","predO10EOIRuns","predO15EOIRuns","inn2EOIRuns","predO26EOIRuns","predO30EOIRuns","predO35EOIRuns","errO35Run","errO35Per","errO30Run","errO30Per","errO26Run","errO26Per","errO15Run","errO15Per","errO10Run","errO10Per","errO6Run","errO6Per","correctPredWinEOIO35","correctPredWinEOIO30","correctPredWinEOIO26","correctPredWinModO35","correctPredWinModO30","correctPredWinModO26","correctPredWinModO20","correctPredWinModO0"
"18",18,2015,829744,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,146,151,151,120,147,137,148,148,1,0.6,1,0.8,-10,-6.7,-26,-17.5,5,3.2,5,3.6,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
"19",19,2015,829746,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,191,172,201,161,191,157,149,161,-30,-15.8,-42,-22.2,-34,-17.7,-30,-15.7,10,5.2,-19,-10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"20",20,2015,829750,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,181,175,179,155,154,141,150,140,-14,-9,-4,-2.9,-13,-8.6,-26,-14.4,-2,-1.2,-6,-3.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"21",21,2015,829752,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,190,177,166,177,153,171,175,172,19,12.7,22,14.2,18,11.6,-13,-6.7,-24,-12.4,-13,-6.8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"22",22,2015,829754,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,130,161,158,111,134,129,141,149,15,11.3,7,5.2,-5,-3.5,-19,-14.3,28,21.9,31,24.2,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
"23",23,2015,829756,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,157,181,178,136,137,148,149,141,4,2.7,12,8.6,11,7.8,-21,-13.3,21,13.7,24,15.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
"24",24,2015,829758,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,192,187,205,169,95,150,136,124,29,30.5,41,43.6,55,57.6,-23,-11.9,13,7,-5,-2.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"25",25,2015,829764,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,150,185,180,139,130,131,132,131,1,0.5,2,1.7,1,0.4,-11,-7.5,30,20.2,35,23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
"26",26,2015,829766,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,171,181,177,133,158,154,163,143,-15,-9.7,5,3.1,-4,-2.6,-38,-22.2,6,3.6,10,6.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"27",27,2015,829770,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,134,185,156,115,132,131,127,123,-9,-7.2,-5,-3.9,-1,-0.9,-19,-14.3,22,16.3,51,38.3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
"28",28,2015,829772,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,118,126,120,88,119,128,143,123,-9,-7.2,24,20.1,9,7.5,-30,-25.2,2,1.7,8,6.9,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
"29",29,2015,829774,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,187,190,188,144,179,165,171,172,-7,-3.7,-8,-4.3,-14,-7.9,-43,-23.1,1,0.7,3,1.5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
"30",30,2015,829778,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,192,218,211,168,170,173,178,172,2,1.1,8,4.6,3,2,-24,-12.5,19,9.9,26,13.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
